company_age_years,founder_count,employees_size_numeric,employee_size_category,total_funding_usd,funding_rounds,funding_per_round,investor_count,primary_industry,label
9,2,0.0,Large,78750000.0,6,13125000.0,5,SAAS,-1
6,3,0.0,Enterprise,11117000000.0,3,3705666666.6666665,5,FINTECH,-1
8,2,0.0,Medium,116258656.0,6,19376442.666666668,5,Consumer Electronics,-1
17,2,0.0,Enterprise,9009184737.0,24,375382697.375,5,ECOMMERCE,1
15,3,0.0,Large,165518505.0,15,11034567.0,5,FINTECH,1
11,1,0.0,Enterprise,64495265.0,5,12899053.0,5,EDTECH,-1
7,2,0.0,Small,35400000.0,5,7080000.0,5,FINTECH,-1
8,2,0.0,Medium,161545747.0,7,23077963.85714286,5,ECOMMERCE,1
9,2,0.0,Enterprise,277583000.0,8,34697875.0,5,LOGISTICS,1
16,1,0.0,Medium,383626249.0,11,34875113.54545455,5,FINTECH,1
11,2,0.0,Enterprise,112087670.0,11,10189788.181818182,5,EDTECH,1
9,2,0.0,Medium,56035717.0,8,7004464.625,5,ECOMMERCE,1
12,2,0.0,Large,274145634.0,20,13707281.7,5,Automotive,1
14,2,0.0,Enterprise,1776260825.0,13,136635448.07692307,5,ECOMMERCE,1
6,1,0.0,Medium,11294388.0,2,5647194.0,3,EDTECH,0
17,2,0.0,Large,247500000.0,7,35357142.85714286,5,SAAS,1
4,2,0.0,Small,33997488.0,3,11332496.0,5,SAAS,-1
10,3,0.0,Enterprise,32070087.0,6,5345014.5,5,LOGISTICS,-1
6,2,0.0,Small,14938971.0,3,4979657.0,5,Aerospace,0
15,3,0.0,Medium,27307486.0,5,5461497.2,4,LOGISTICS,1
13,1,0.0,Medium,12294124.0,4,3073531.0,5,APPS,-1
15,1,0.0,Enterprise,307351129.0,8,38418891.125,5,ECOMMERCE,1
7,4,0.0,Large,37400000.0,5,7480000.0,5,FINTECH,-1
8,1,0.0,Enterprise,254425980.0,8,31803247.5,5,FINTECH,1
13,2,0.0,Large,245341627.0,9,27260180.777777776,5,ECOMMERCE,1
9,2,0.0,Large,119680000.0,6,19946666.666666668,5,LOGISTICS,-1
9,3,0.0,Medium,14128602.0,6,2354767.0,5,Beauty,-1
7,3,0.0,Medium,14543144.0,4,3635786.0,5,Aerospace,-1
9,3,0.0,Medium,19879176.0,3,6626392.0,5,APPS,-1
5,2,0.0,Small,20645163.0,5,4129032.6,5,HEALTHCARE,-1
11,3,0.0,Medium,9653620.0,6,1608936.6666666667,5,HEALTHCARE,-1
8,2,0.0,Medium,479575960.0,10,47957596.0,5,HEALTHCARE,1
12,1,0.0,Enterprise,341858615.0,13,26296816.53846154,5,Beauty,1
10,2,0.0,Medium,214452563.0,10,21445256.3,5,SAAS,1
9,3,0.0,Large,671538857.0,9,74615428.55555555,5,HEALTHCARE,1
9,7,0.0,Large,193125171.0,7,27589310.14285714,5,FINTECH,1
12,2,0.0,Large,65966878.0,4,16491719.5,3,EDTECH,1
14,2,0.0,Medium,29000000.0,2,14500000.0,3,FINTECH,-1
4,4,0.0,Medium,20000000.0,3,6666666.666666667,5,EDTECH,0
9,3,0.0,Medium,68373925.0,9,7597102.777777778,5,FINTECH,1
5,3,0.0,Medium,13000000.0,2,6500000.0,5,SAAS,0
10,3,0.0,Enterprise,101691508.0,8,12711438.5,5,E-Commerce,1
13,2,0.0,Enterprise,342349901.0,20,17117495.05,5,LOGISTICS,1
9,3,0.0,Large,126900000.0,5,25380000.0,5,ECOMMERCE,1
6,4,0.0,Small,4200835.0,4,1050208.75,5,EDTECH,-1
12,2,0.0,Large,49286284.0,5,9857256.8,5,ECOMMERCE,1
5,1,0.0,Seed,7483079.0,3,2494359.6666666665,4,EDTECH,0
9,2,0.0,Small,9357626.0,4,2339406.5,5,HEALTHCARE,-1
9,2,0.0,Large,41884162.0,7,5983451.714285715,5,ECOMMERCE,1
11,3,0.0,Large,102210000.0,5,20442000.0,5,Automotive,-1
8,4,0.0,Medium,16950000.0,7,2421428.571428572,5,Lifestyle,-1
5,4,0.0,Small,25000000.0,1,25000000.0,5,SAAS,-1
8,4,0.0,Large,24000000.0,3,8000000.0,3,SAAS,-1
8,1,0.0,Small,23313960.0,5,4662792.0,5,HEALTHCARE,-1
10,4,0.0,Small,38519469.0,11,3501769.909090909,5,LOGISTICS,1
4,1,0.0,Seed,3000000.0,2,1500000.0,5,FINTECH,0
12,2,0.0,Large,114896667.0,9,12766296.333333334,5,E-Commerce,1
5,3,0.0,Medium,17000000.0,2,8500000.0,4,SAAS,0
7,1,0.0,Enterprise,28188461.0,2,14094230.5,2,FINTECH,-1
7,3,0.0,Medium,84200000.0,3,28066666.666666668,5,FINTECH,-1
13,2,0.0,Medium,93649358.0,10,9364935.8,5,ECOMMERCE,1
35,1,0.0,Enterprise,15000000.0,1,15000000.0,2,FINTECH,-1
9,3,0.0,Enterprise,296995198.0,8,37124399.75,5,LOGISTICS,1
8,2,0.0,Large,2500000000.0,2,1250000000.0,3,ECOMMERCE,-1
9,1,0.0,Medium,152000000.0,9,16888888.888888888,5,LOGISTICS,1
12,12,0.0,Enterprise,147830000.0,8,18478750.0,5,Internet,1
8,2,0.0,Small,49939813.0,5,9987962.6,5,EDTECH,-1
9,3,0.0,Medium,22000000.0,3,7333333.333333333,5,FINTECH,-1
12,4,0.0,Medium,8444527.0,7,1206361.0,5,FINTECH,1
16,3,0.0,Enterprise,2100568357.0,21,100027064.6190476,5,APPS,1
12,2,0.0,Enterprise,35500000.0,3,11833333.333333334,5,ECOMMERCE,-1
6,3,0.0,Medium,45500000.0,5,9100000.0,5,Digital Entertainment,-1
6,1,0.0,Seed,14340302.0,5,2868060.4,5,Social,-1
9,3,0.0,Medium,23450864.0,6,3908477.3333333335,5,FINTECH,-1
8,4,0.0,Enterprise,244460150.0,5,48892030.0,4,FINTECH,-1
10,2,0.0,Large,261193454.0,23,11356237.130434783,5,FINTECH,1
10,2,0.0,Enterprise,268701257.0,11,24427387.0,5,SAAS,1
7,2,0.0,Small,4506066.0,2,2253033.0,5,Content,0
9,2,0.0,Medium,10392793.0,5,2078558.6,5,SAAS,-1
12,2,0.0,Medium,18658274.0,8,2332284.25,5,E-Commerce,1
9,3,0.0,Small,3280204.0,4,820051.0,5,SAAS,-1
7,4,0.0,Large,48785217.0,6,8130869.5,5,HEALTHCARE,-1
10,3,0.0,Enterprise,56506662.0,4,14126665.5,3,ECOMMERCE,-1
10,2,0.0,Large,257504119.0,12,21458676.58333333,5,FINTECH,1
7,4,0.0,Medium,6000000.0,3,2000000.0,5,FINTECH,0
9,3,0.0,Large,77000000.0,5,15400000.0,5,FINTECH,-1
12,4,0.0,Enterprise,485392829.0,6,80898804.83333333,4,LOGISTICS,1
6,3,0.0,Large,290345855.0,7,41477979.28571428,5,FINTECH,1
11,2,0.0,Medium,23000000.0,5,4600000.0,5,SAAS,-1
7,3,0.0,Large,53350000.0,6,8891666.666666666,5,LOGISTICS,-1
13,1,0.0,Medium,35000000.0,2,17500000.0,3,SAAS,-1
5,2,0.0,Medium,42850000.0,3,14283333.333333334,5,FINTECH,-1
16,2,0.0,Enterprise,424214622.0,12,35351218.5,5,ECOMMERCE,1
9,2,0.0,Small,15504114.0,3,5168038.0,5,EDTECH,-1
7,2,0.0,Large,172175325.0,6,28695887.5,5,Home Services,-1
6,1,0.0,Large,81000000.0,4,20250000.0,5,HEALTHCARE,-1
7,1,0.0,Small,450000.0,3,150000.0,4,Blockchain,0
9,3,0.0,Medium,13275213.0,5,2655042.6,3,EDTECH,-1
8,2,0.0,Small,4074000.0,6,679000.0,5,Automotive,-1
5,3,0.0,Small,6000000.0,1,6000000.0,5,DIY,0
8,2,0.0,Medium,28438340.0,5,5687668.0,5,EDTECH,-1
15,3,0.0,Large,90000000.0,1,90000000.0,1,APPS,-1
7,5,0.0,Medium,107701572.0,4,26925393.0,3,FINTECH,-1
9,2,0.0,Enterprise,27575748.0,5,5515149.6,5,HEALTHCARE,-1
12,1,0.0,Large,68955715.0,16,4309732.1875,5,Consumer,1
10,3,0.0,Enterprise,2428380000.0,14,173455714.2857143,5,LOGISTICS,1
9,4,0.0,Seed,17696569.0,6,2949428.1666666665,5,Consumer Goods,-1
9,3,0.0,Large,69174397.0,9,7686044.111111111,5,Hospitality,1
