company_age_years,founder_count,employees_size_numeric,employee_size_category,total_funding_usd,funding_rounds,funding_per_round,investor_count,primary_industry
13,1,,Large,61000000.0,4,15250000.0,5,HEALTHCARE
5,1,,Medium,310000000.0,2,155000000.0,5,HEALTHCARE
10,3,,Medium,99640920.0,7,14234417.142857144,5,FINTECH
11,2,,Large,51250370.0,6,8541728.333333334,5,HEALTHCARE
9,1,,Medium,33267529.0,7,4752504.142857143,5,FINTECH
9,3,,Medium,9702517.0,5,1940503.4,5,Automotive
7,2,,Enterprise,70000000.0,1,70000000.0,1,Information Services
9,1,,Large,160465015.0,14,11461786.785714285,5,FOODTECH
8,2,,Seed,48000000.0,2,24000000.0,4,EDTECH
12,4,,Large,51944731.0,5,10388946.2,5,E-Commerce
9,5,,Medium,29833055.0,5,5966611.0,5,APPS
10,1,,Small,550000000.0,1,550000000.0,3,LOGISTICS
4,4,,Small,1284058.0,2,642029.0,4,Celebrity
24,1,,Small,139178803.0,3,46392934.333333336,3,HEALTHCARE
9,2,,Medium,21500000.0,2,10750000.0,4,EDTECH
7,2,,Large,13275120.0,3,4425040.0,5,Electric Vehicle
6,2,,Large,14800000.0,6,2466666.6666666665,5,ECOMMERCE
34,1,,Medium,1787100000.0,1,1787100000.0,5,Consumer Electronics
18,1,,Enterprise,173773498.0,3,57924499.333333336,5,HEALTHCARE
18,1,,Enterprise,300000000.0,1,300000000.0,1,Commercial Real Estate
13,2,,Medium,14500000.0,7,2071428.5714285714,5,EDTECH
5,1,,Large,10500000.0,2,5250000.0,5,EDTECH
7,4,,Medium,19900000.0,4,4975000.0,5,Electric Vehicle
9,3,,Large,28000000.0,5,5600000.0,5,ECOMMERCE
9,2,,Medium,23300000.0,3,7766666.666666667,5,APPS
9,3,,Medium,10180783.0,3,3393594.3333333335,4,SAAS
13,3,,Large,85000000.0,2,42500000.0,3,Intellectual Property
9,3,,Medium,21540065.0,5,4308013.0,5,EDTECH
9,2,,Large,44580231.0,8,5572528.875,5,LOGISTICS
12,1,,Enterprise,3439351106.0,17,202314770.94117647,5,Hospitality
5,2,,Seed,22500000.0,2,11250000.0,5,FINTECH
18,1,,Enterprise,317695079.0,7,45385011.28571428,5,HEALTHCARE
5,2,,Small,110000000.0,2,55000000.0,5,EDTECH
8,3,,Medium,5100000.0,4,1275000.0,5,EDTECH
9,3,,Large,824830000.0,10,82483000.0,5,APPS
7,3,,Medium,13670000.0,5,2734000.0,5,HEALTHCARE
8,2,,Medium,17000000.0,2,8500000.0,4,HEALTHCARE
11,5,,Medium,12550000.0,5,2510000.0,5,EDTECH
24,1,,Large,241361584.0,4,60340396.0,5,FINTECH
5,2,,Small,725000.0,2,362500.0,5,ECOMMERCE
9,3,,Medium,12600000.0,6,2100000.0,5,FINTECH
10,1,,Medium,41255467.0,12,3437955.5833333335,5,LOGISTICS
9,8,,Medium,6390562.0,3,2130187.3333333335,4,Human Resources
13,2,,Medium,6100000.0,7,871428.5714285715,5,SAAS
15,1,,Small,26963740.0,6,4493956.666666667,5,E-Commerce
20,1,,Enterprise,211350000.0,7,30192857.14285714,4,SAAS
5,3,,Small,2001796.0,4,500449.0,5,EDTECH
12,2,,Medium,27420684.0,2,13710342.0,5,FINTECH
6,1,,Small,637500000.0,3,212500000.0,5,E-Commerce
11,1,,Medium,340000000.0,1,340000000.0,2,FINTECH
7,2,,Medium,17271725.0,3,5757241.666666667,4,Business Travel
8,2,,Small,10361312.0,5,2072262.4,5,FINTECH
11,3,,Small,8923539.0,4,2230884.75,5,APPS
17,1,,Enterprise,26500000.0,1,26500000.0,4,Information Technology
10,1,,Large,25837687.0,7,3691098.1428571427,5,LOGISTICS
12,1,,Small,1640000000.0,1,1640000000.0,1,Events
13,3,,Medium,5168764.0,5,1033752.8,5,FINTECH
13,1,,Large,70196840.0,8,8774605.0,3,FINTECH
9,4,,Medium,6287653.0,10,628765.3,5,Android
8,3,,Large,67262961.0,3,22420987.0,4,APPS
14,2,,Medium,107798787.0,7,15399826.714285715,5,FINTECH
14,1,,Enterprise,795000000.0,3,265000000.0,4,ECOMMERCE
13,1,,Large,52800000.0,5,10560000.0,5,ECOMMERCE
6,1,,Small,18549687.0,2,9274843.5,4,FINTECH
12,2,,Seed,5569257.0,3,1856419.0,4,LOGISTICS
12,1,,Large,60157500.0,3,20052500.0,2,EDTECH
13,1,,Large,166195349.0,3,55398449.666666664,3,APPS
6,2,,Small,1784442.0,3,594814.0,5,FINTECH
12,3,,Large,22685276.0,5,4537055.2,5,ECOMMERCE
12,3,,Medium,23500000.0,4,5875000.0,5,FINTECH
20,1,,Large,50000000.0,1,50000000.0,1,Hospitality
17,6,,Medium,56286865.0,10,5628686.5,5,HEALTHCARE
9,2,,Small,5781631.0,4,1445407.75,5,Beauty
12,2,,Enterprise,40833000.0,6,6805500.0,5,LOGISTICS
9,1,,Medium,20970000.0,3,6990000.0,1,Digital Entertainment
8,1,,Unknown,3730000000.0,1,3730000000.0,1,Beauty
33,1,,Enterprise,129250000.0,4,32312500.0,4,FINTECH
13,5,,Medium,51000000.0,6,8500000.0,5,SAAS
7,4,,Small,3709141.0,3,1236380.3333333333,5,FINTECH
11,2,,Medium,12200000.0,2,6100000.0,3,EDTECH
17,2,,Large,108650000.0,5,21730000.0,5,SAAS
9,2,,Enterprise,515200000.0,9,57244444.44444445,5,ECOMMERCE
14,2,,Large,554629632.0,10,55462963.2,5,HEALTHCARE
8,3,,Enterprise,1179919113.0,6,196653185.5,5,ECOMMERCE
4,1,,Small,15000000.0,1,15000000.0,5,FINTECH
7,1,,Medium,440000000.0,1,440000000.0,2,FINTECH
9,4,,Medium,6065079.0,7,866439.8571428572,5,EDTECH
5,3,,Small,557033.0,4,139258.25,5,Agriculture
5,3,,Medium,15000000.0,4,3750000.0,0,SAAS
5,1,,Seed,1824000.0,1,1824000.0,0,FINTECH
8,1,,Seed,7964767.0,3,2654922.3333333335,0,Digital Entertainment
